table_name,pct_indirect_ids,avg_unique_values,max_unique_values,std_unique_values,pct_datetime,pct_string,avg_indirect_id_unique_values,max_indirect_id_unique_values,std_indirect_id_unique_values,row_count,cap_row_count,r_iids_categorical,avg_iids_categorical_unique_values,PRIVACY_Minimum row count,PRIVACY_Check distance distributions between real and synthetic,PRIVACY_Membership inference,PRIVACY_Risky row counts,PRIVACY_Row memorization,PRIVACY_Attribute inference,PRIVACY_No new categorical values,PRIVACY_Minimum row count_PASS,PRIVACY_Check distance distributions between real and synthetic_PASS,PRIVACY_Membership inference_PASS,PRIVACY_Risky row counts_PASS,PRIVACY_Row memorization_PASS,PRIVACY_Attribute inference_PASS,PRIVACY_No new categorical values_PASS,type,epochs,learning_rate,batch_size,num_equivalence_classes,avg_equivalence_class_size,median_equivalence_class_size,std_equivalence_class_size,num_small_equivalence_classes,avg_uniqueness_ratio,uniqueness_ratio_small_classes,ec_entropy,num_rows_in_small_equivalence_classes
nursery,0.1,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.0,3,0.0,12960,12960,0.1,3.0,12960,0.11879078414273755,0.5079895510455094,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,3,1666.6666666666667,1656.0,22.94195574342635,0,-1.0,,1.0986122886681096,0
nursery,0.6,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.3333333333333335,5,0.9428090415820634,12960,12960,0.6,3.3333333333333335,12960,0.6199649450986999,0.4994227679760813,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,1076,4.646840148698884,5.0,1.654254348010657,522,0.4962825278810409,0.49616858237547895,1.9092624806890897,1694
nursery,0.1,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.0,3,0.0,12960,12960,0.1,3.0,12960,0.4400403696611492,0.5070233372668597,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCTGAN,100,0.0002,50000,3,1666.6666666666667,1656.0,22.94195574342635,0,-1.0,,1.0986122886681096,0
nursery,0.6,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.3333333333333335,5,0.9428090415820634,12960,12960,0.6,3.3333333333333335,12960,0.33798585601813846,0.49956543570501377,3,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,370,13.513513513513514,13.0,7.213438308380698,38,-inf,-0.3684210526315789,3.272086143790224,120
nursery,0.6,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.3333333333333335,5,0.9428090415820634,12960,12960,0.6,3.3333333333333335,12960,0.7660294617308964,0.502272932250451,1,0.0,8.122157244964262e-05,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,370,13.513513513513514,13.0,7.213438308380698,38,-inf,-0.3684210526315789,3.272086143790224,120
nursery,0.6,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.3333333333333335,5,0.9428090415820634,12960,12960,0.6,3.3333333333333335,12960,0.47926661695308315,0.4993153370446224,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,1076,4.646840148698884,5.0,1.654254348010657,522,0.4962825278810409,0.49616858237547895,1.9092624806890897,1694
nursery,0.4,3.5555555555555554,5,0.9558139185602919,0.0,0.9,4.25,5,0.82915619758885,12960,12960,0.4,4.25,12960,0.5778521879789098,0.5041370434619225,0,0.0,0.00016244314489928524,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,180,27.77777777777778,28.0,15.626061726807757,12,-0.5,-0.5,3.7703629022829825,32
nursery,0.6,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.3333333333333335,5,0.9428090415820634,12960,12960,0.6,3.3333333333333335,12960,0.5258794972808034,0.5031038262019449,4,0.0,8.122157244964262e-05,0,True,True,True,True,True,True,True,SubsaltCTGAN,100,0.0002,50000,370,13.513513513513514,13.0,7.213438308380698,38,-inf,-0.3684210526315789,3.272086143790224,120
nursery,0.4,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.5,5,1.118033988749895,12960,12960,0.4,3.5,12960,0.5259552752803456,0.49803563729340755,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,86,58.13953488372093,65.0,24.615233346899196,2,0.21705426356589141,0.3333333333333333,3.583439196967056,4
nursery,0.4,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.5,5,1.118033988749895,12960,12960,0.4,3.5,12960,0.6932913130246684,0.5072759423625063,0,0.0,8.122157244964262e-05,0,True,True,True,True,True,True,True,SubsaltCTGAN,100,0.0002,50000,86,58.13953488372093,65.0,24.615233346899196,2,0.21705426356589141,0.3333333333333333,3.583439196967056,4
nursery,0.4,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.5,5,1.118033988749895,12960,12960,0.4,3.5,12960,0.7538409717710362,0.49716780547572564,0,0.0,8.122157244964262e-05,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,86,58.13953488372093,65.0,24.615233346899196,2,0.21705426356589141,0.3333333333333333,3.583439196967056,4
nursery,0.7,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.857142857142857,5,0.8329931278350429,12960,12960,0.7,3.857142857142857,12960,0.5994367852266176,0.504011518963038,638,0.0,8.122157244964262e-05,0,True,True,True,False,True,True,True,SubsaltTVAE,100,0.0002,50000,2288,2.1853146853146854,2.0,1.0860297782483004,2232,-inf,-inf,1.401986872463976,4707
nursery,0.7,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.857142857142857,5,0.8329931278350429,12960,12960,0.7,3.857142857142857,12960,0.35777289630023495,0.5043443372338273,673,0.0,8.122157244964262e-05,0,True,True,True,False,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,2288,2.1853146853146854,2.0,1.0860297782483004,2232,-inf,-inf,1.401986872463976,4707
nursery,0.7,3.5555555555555554,5,0.9558139185602919,0.0,0.9,3.857142857142857,5,0.8329931278350429,12960,12960,0.7,3.857142857142857,12960,0.5345995117218348,0.49606807320603097,744,0.0,8.122157244964262e-05,0,True,True,True,False,True,True,True,SubsaltCTGAN,100,0.0002,50000,2288,2.1853146853146854,2.0,1.0860297782483004,2232,-inf,-inf,1.401986872463976,4707
applications,0.45454545454545453,633.5,5039,1496.597290522738,0.0,0.45454545454545453,247.2,980,377.38118660049815,25000,25000,0.2727272727272727,5.666666666666667,25000,0.2651996312157917,0.424989144817102,0,0.0,4.210526315789474e-05,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,2953,1.6931933626820184,1.0,1.477935412962346,2801,-inf,-inf,1.0954990480287377,3979
applications,0.9090909090909091,633.5,5039,1496.597290522738,0.0,0.45454545454545453,633.5,5039,1496.597290522738,25000,25000,0.6363636363636364,11.0,25000,0.36476772536850016,0.4492253972801427,38,0.001431578947368421,0.0,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,4977,1.0046212577858147,1.0,0.06782939023644931,4977,-inf,-inf,0.02945947474952735,5000
applications,0.9090909090909091,633.5,5039,1496.597290522738,0.0,0.45454545454545453,633.5,5039,1496.597290522738,25000,25000,0.6363636363636364,11.0,25000,0.5603069042475086,0.4600501253132832,30,0.0010526315789473684,0.0,0,True,True,True,True,True,True,True,SubsaltCTGAN,100,0.0002,50000,4977,1.0046212577858147,1.0,0.06782939023644931,4977,-inf,-inf,0.02945947474952735,5000
applications,0.9090909090909091,633.5,5039,1496.597290522738,0.0,0.45454545454545453,633.5,5039,1496.597290522738,25000,25000,0.6363636363636364,11.0,25000,0.19043065652687202,0.4210009024280143,9,0.019452631578947367,0.0,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,4977,1.0046212577858147,1.0,0.06782939023644931,4977,-inf,-inf,0.02945947474952735,5000
applications,0.45454545454545453,633.5,5039,1496.597290522738,0.0,0.45454545454545453,247.2,980,377.38118660049815,25000,25000,0.2727272727272727,5.666666666666667,25000,0.45597539337067505,0.4779247832638203,0,0.0,4.210526315789474e-05,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,2953,1.6931933626820184,1.0,1.477935412962346,2801,-inf,-inf,1.0954990480287377,3979
credit_card_sample,0.9285714285714286,681.7692307692307,3667,1070.9121312691384,0.0,0.14285714285714285,681.7692307692307,3667,1070.9121312691384,5000,5000,0.21428571428571427,4.666666666666667,5000,0.666871820413812,0.506672380712663,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,4801,1.0414496979795875,1.0,0.2075409146921708,4801,,,0.1741729775539524,5000
credit_card_sample,0.9285714285714286,681.7692307692307,3667,1070.9121312691384,0.0,0.14285714285714285,681.7692307692307,3667,1070.9121312691384,5000,5000,0.21428571428571427,4.666666666666667,5000,0.40127582834059616,0.4389522584933798,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCTGAN,100,0.0002,50000,4801,1.0414496979795875,1.0,0.2075409146921708,4801,,,0.1741729775539524,5000
credit_card_sample,0.9285714285714286,681.7692307692307,3667,1070.9121312691384,0.0,0.14285714285714285,681.7692307692307,3667,1070.9121312691384,5000,5000,0.21428571428571427,4.666666666666667,5000,0.37946664722900925,0.4990496568954749,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,4801,1.0414496979795875,1.0,0.2075409146921708,4801,,,0.1741729775539524,5000
StudentPerformanceFactors,0.9523809523809523,11.9,51,16.50424187898372,0.0,0.6190476190476191,11.9,51,16.50424187898372,6607,6607,0.7619047619047619,3.75,6607,0.48493206771178743,0.43521078174488226,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCTGAN,100,0.0002,50000,5000,1.0,1.0,0.0,5000,,,0.0,5000
StudentPerformanceFactors,0.9523809523809523,11.9,51,16.50424187898372,0.0,0.6190476190476191,11.9,51,16.50424187898372,6607,6607,0.7619047619047619,3.75,6607,0.6807669699544677,0.4833212932454849,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,5000,1.0,1.0,0.0,5000,,,0.0,5000
StudentPerformanceFactors,0.9523809523809523,11.9,51,16.50424187898372,0.0,0.6190476190476191,11.9,51,16.50424187898372,6607,6607,0.7619047619047619,3.75,6607,0.30158029263988445,0.5,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,5000,1.0,1.0,0.0,5000,,,0.0,5000
healthcare_dataset,0.08333333333333333,153.54545454545453,751,215.1774589564976,0.08333333333333333,0.16666666666666666,51.0,51,0.0,25000,25000,0.0,-1.0,25000,0.5693206489302014,0.4584471164596812,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltTVAE,100,0.0002,50000,25,200.0,196.0,24.460853078609777,0,-1.0,,2.809783478004049,0
healthcare_dataset,0.08333333333333333,153.54545454545453,751,215.1774589564976,0.08333333333333333,0.16666666666666666,51.0,51,0.0,25000,25000,0.0,-1.0,25000,0.6361855271711143,0.5000244747428977,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCTGAN,100,0.0002,50000,25,200.0,196.0,24.460853078609777,0,-1.0,,2.809783478004049,0
healthcare_dataset,0.08333333333333333,153.54545454545453,751,215.1774589564976,0.08333333333333333,0.16666666666666666,51.0,51,0.0,25000,25000,0.0,-1.0,25000,0.48563363187267783,0.5000329975573626,0,0.0,0.0,0,True,True,True,True,True,True,True,SubsaltCopulaGAN,100,0.0002,50000,25,200.0,196.0,24.460853078609777,0,-1.0,,2.809783478004049,0
healthcare_dataset,0.9166666666666666,153.54545454545453,751,215.1774589564976,0.08333333333333333,0.16666666666666666,153.54545454545453,751,215.1774589564976,100000,100000,0.25,6.333333333333333,100000,0.5755438126457352,0.5691358024691359,0,0.0,0.0,0,True,True,False,True,True,True,True,SubsaltCTGAN,100,0.0002,50000,5000,1.0,1.0,0.0,5000,,,0.0,5000
